
══════════════════════════════════════════════════════════════════════
  CONCURRENT EXPERIMENT PLAN  ─  Kiến Trúc Song Song Hoàn Chỉnh
══════════════════════════════════════════════════════════════════════
  GPU              : 0  (CUDA_VISIBLE_DEVICES=0)
  Target(s)        : ['XANG', 'DAU']
  Models           : 47
  Horizons         : [1, 3, 5, 7, 10, 20, 60]
  Seeds            : [123]
  Total planned    : 658
  Jobs to run      : 658
  Max concurrent   : 7  (auto VRAM-aware)
  Per-job timeout  : Unlimited (không giới hạn)
  Retries          : 1
  Results dir      : results_v4/
  Error logs       : logs_v4/errors/
  Dry run          : False

  Models (47):
    [01] DLinear                ~ 400 MB VRAM
    [02] RLinear                ~ 400 MB VRAM
    [03] LTSF_Linear            ~ 400 MB VRAM
    [04] NBEATS                 ~ 700 MB VRAM
    [05] NHits                  ~ 700 MB VRAM
    [06] PatchTST               ~1800 MB VRAM
    [07] TFT                    ~ 900 MB VRAM
    [08] Autoformer             ~1800 MB VRAM
    [09] FedFormer              ~1800 MB VRAM
    [10] Informer               ~1500 MB VRAM
    [11] Reformer               ~1500 MB VRAM
    [12] iTransformer           ~1500 MB VRAM
    [13] UniTS                  ~1500 MB VRAM
    [14] TimeXer                ~1200 MB VRAM
    [15] Crossformer            ~1200 MB VRAM
    [16] CARD                   ~1200 MB VRAM
    [17] TimesNet               ~1200 MB VRAM
    [18] TimeMixer              ~1200 MB VRAM
    [19] TTM                    ~1200 MB VRAM
    [20] FITS                   ~ 600 MB VRAM
    [21] CoST                   ~ 700 MB VRAM
    [22] TimeMachine            ~1800 MB VRAM
    [23] S_Mamba                ~2000 MB VRAM
    [24] MambaFormer            ~2000 MB VRAM
    [25] BiMamba                ~1800 MB VRAM
    [26] Chronos                ~4500 MB VRAM
    [27] TimesFM                ~4500 MB VRAM
    [28] Moirai                 ~4500 MB VRAM
    [29] Lag_Llama              ~4000 MB VRAM
    [30] TEMPO                  ~3500 MB VRAM
    [31] GPT4TS                 ~3500 MB VRAM
    [32] Time_MoE               ~ 800 MB VRAM
    [33] Gated_TabNet           ~ 500 MB VRAM
    [34] GUMNet                 ~ 900 MB VRAM
    [35] GUMNet_Mamba           ~1800 MB VRAM
    [36] GUMNet_iTrans          ~1500 MB VRAM
    [37] GUMNet_Wavelet         ~1200 MB VRAM
    [38] GUMNet_Patch           ~1000 MB VRAM
    [39] GUMNet_Fourier         ~ 800 MB VRAM
    [40] GUMNet_Diffusion       ~2500 MB VRAM
    [41] GUMNet_Graph           ~2500 MB VRAM
    [42] GUMNet_RL              ~2000 MB VRAM
    [43] GUMNet_MoE_Sparse      ~ 800 MB VRAM
    [44] GUMNet_Fusion          ~3000 MB VRAM
    [45] GUMNet_Decomp          ~ 800 MB VRAM
    [46] GUMNet_Adaptive        ~ 900 MB VRAM
    [47] GUMNetHet              ~ 800 MB VRAM
══════════════════════════════════════════════════════════════════════

[GPU0] Starting 658 jobs with 7 concurrent workers...
[GPU0] Log: /data/quyhv/oil_forecast_tail_risk/logs_v4/concurrent_gpu0_20260817_015425.log

[   1/658]   0.2% | OK:1    FAIL:0    SKIP:0   | OK           | 12629s | ETA:138291m | NBEATS|XANG|H1|s123
[  26/658]   4.0% | OK:26   FAIL:0    SKIP:0   | OK           | 42102s | ETA:39154m | TimeMachine|XANG|H1|s123
[  27/658]   4.1% | OK:27   FAIL:0    SKIP:0   | OK           | 36801s | ETA:38220m | BiMamba|XANG|H1|s123
[  28/658]   4.3% | OK:28   FAIL:0    SKIP:0   | OK           | 40515s | ETA:37049m | S_Mamba|XANG|H1|s123
[  29/658]   4.4% | OK:29   FAIL:0    SKIP:0   | OK           | 14008s | ETA:37157m | GPT4TS|XANG|H1|s123
[  30/658]   4.6% | OK:30   FAIL:0    SKIP:0   | OK           | 38606s | ETA:36879m | Moirai|XANG|H1|s123
[  31/658]   4.7% | OK:31   FAIL:0    SKIP:0   | OK           | 24841s | ETA:36241m | TEMPO|XANG|H1|s123
[  32/658]   4.9% | OK:32   FAIL:0    SKIP:0   | OK           | 23708s | ETA:39723m | GUMNet|XANG|H1|s123
[  33/658]   5.0% | OK:33   FAIL:0    SKIP:0   | OK           | 29106s | ETA:39598m | Time_MoE|XANG|H1|s123
[  34/658]   5.2% | OK:34   FAIL:0    SKIP:0   | OK           | 32322s | ETA:40107m | GUMNet_Mamba|XANG|H1|s123
[  35/658]   5.3% | OK:35   FAIL:0    SKIP:0   | OK           | 35547s | ETA:39217m | Gated_TabNet|XANG|H1|s123
[  36/658]   5.5% | OK:36   FAIL:0    SKIP:0   | OK           | 31257s | ETA:39959m | GUMNet_Patch|XANG|H1|s123
[  37/658]   5.6% | OK:37   FAIL:0    SKIP:0   | OK           | 34467s | ETA:39210m | GUMNet_Wavelet|XANG|H1|s123
[  38/658]   5.8% | OK:38   FAIL:0    SKIP:0   | OK           | 38547s | ETA:38433m | GUMNet_iTrans|XANG|H1|s123
[  39/658]   5.9% | OK:39   FAIL:0    SKIP:0   | OK           | 32063s | ETA:40710m | GUMNet_Fourier|XANG|H1|s123
[  40/658]   6.1% | OK:40   FAIL:0    SKIP:0   | OK           | 35142s | ETA:41351m | GUMNet_Diffusion|XANG|H1|s123
[  41/658]   6.2% | OK:41   FAIL:0    SKIP:0   | OK           | 29732s | ETA:40613m | GUMNet_RL|XANG|H1|s123
[  42/658]   6.4% | OK:42   FAIL:0    SKIP:0   | OK           | 32789s | ETA:40067m | GUMNet_Graph|XANG|H1|s123
[  43/658]   6.5% | OK:43   FAIL:0    SKIP:0   | OK           | 6345s | ETA:40111m | DLinear|XANG|H3|s123
[  44/658]   6.7% | OK:44   FAIL:0    SKIP:0   | OK           | 29694s | ETA:39777m | GUMNet_Decomp|XANG|H1|s123
[  45/658]   6.8% | OK:45   FAIL:0    SKIP:0   | OK           | 8628s | ETA:39172m | RLinear|XANG|H3|s123
[  46/658]   7.0% | OK:46   FAIL:0    SKIP:0   | OK           | 34844s | ETA:38496m | GUMNet_MoE_Sparse|XANG|H1|s123
[  47/658]   7.1% | OK:47   FAIL:0    SKIP:0   | OK           | 5644s | ETA:37682m | LTSF_Linear|XANG|H3|s123
[  48/658]   7.3% | OK:48   FAIL:0    SKIP:0   | OK           | 3706s | ETA:37010m | NBEATS|XANG|H3|s123
[  49/658]   7.4% | OK:49   FAIL:0    SKIP:0   | OK           | 3915s | ETA:36551m | NHits|XANG|H3|s123
[  50/658]   7.6% | OK:50   FAIL:0    SKIP:0   | OK           | 16006s | ETA:35790m | GUMNetHet|XANG|H1|s123
[  51/658]   7.8% | OK:51   FAIL:0    SKIP:0   | OK           | 4394s | ETA:35310m | PatchTST|XANG|H3|s123
[  52/658]   7.9% | OK:52   FAIL:0    SKIP:0   | OK           | 4295s | ETA:34614m | TFT|XANG|H3|s123
[  53/658]   8.1% | OK:53   FAIL:0    SKIP:0   | OK           | 4250s | ETA:34052m | Autoformer|XANG|H3|s123
[  54/658]   8.2% | OK:54   FAIL:0    SKIP:0   | OK           | 3305s | ETA:33510m | FedFormer|XANG|H3|s123
[  55/658]   8.4% | OK:55   FAIL:0    SKIP:0   | OK           | 4268s | ETA:33048m | Informer|XANG|H3|s123
[  56/658]   8.5% | OK:56   FAIL:0    SKIP:0   | OK           | 42026s | ETA:32644m | GUMNet_Fusion|XANG|H1|s123
[  57/658]   8.7% | OK:57   FAIL:0    SKIP:0   | OK           | 3413s | ETA:32053m | UniTS|XANG|H3|s123
[  58/658]   8.8% | OK:58   FAIL:0    SKIP:0   | OK           | 4721s | ETA:31540m | iTransformer|XANG|H3|s123
[  59/658]   9.0% | OK:59   FAIL:0    SKIP:0   | OK           | 5003s | ETA:30966m | Reformer|XANG|H3|s123
[  60/658]   9.1% | OK:60   FAIL:0    SKIP:0   | OK           | 3561s | ETA:30451m | TimeXer|XANG|H3|s123
[  61/658]   9.3% | OK:61   FAIL:0    SKIP:0   | OK           | 4466s | ETA:30230m | Crossformer|XANG|H3|s123
[  62/658]   9.4% | OK:62   FAIL:0    SKIP:0   | OK           | 3439s | ETA:29742m | CARD|XANG|H3|s123
[  63/658]   9.6% | OK:63   FAIL:0    SKIP:0   | OK           | 3631s | ETA:29366m | TimeMixer|XANG|H3|s123
[  64/658]   9.7% | OK:64   FAIL:0    SKIP:0   | OK           | 4646s | ETA:28933m | TimesNet|XANG|H3|s123
[  65/658]   9.9% | OK:65   FAIL:0    SKIP:0   | OK           | 5028s | ETA:28591m | TTM|XANG|H3|s123
[  66/658]  10.0% | OK:66   FAIL:0    SKIP:0   | OK           | 2956s | ETA:28147m | CoST|XANG|H3|s123
[  67/658]  10.2% | OK:67   FAIL:0    SKIP:0   | OK           | 5267s | ETA:27725m | FITS|XANG|H3|s123
[  68/658]  10.3% | OK:68   FAIL:0    SKIP:0   | OK           | 36464s | ETA:27528m | GUMNet_Adaptive|XANG|H1|s123
[  69/658]  10.5% | OK:69   FAIL:0    SKIP:0   | OK           | 5582s | ETA:27405m | MambaFormer|XANG|H3|s123
[  70/658]  10.6% | OK:70   FAIL:0    SKIP:0   | OK           | 4463s | ETA:26984m | Chronos|XANG|H3|s123
[  71/658]  10.8% | OK:71   FAIL:0    SKIP:0   | OK           | 4359s | ETA:26586m | TimesFM|XANG|H3|s123
[  72/658]  10.9% | OK:72   FAIL:0    SKIP:0   | OK           | 3885s | ETA:26349m | Moirai|XANG|H3|s123
[  73/658]  11.1% | OK:73   FAIL:0    SKIP:0   | OK           | 8857s | ETA:26100m | S_Mamba|XANG|H3|s123
[  74/658]  11.2% | OK:74   FAIL:0    SKIP:0   | OK           | 3636s | ETA:25815m | Lag_Llama|XANG|H3|s123
[  75/658]  11.4% | OK:75   FAIL:0    SKIP:0   | OK           | 9167s | ETA:25549m | BiMamba|XANG|H3|s123
[  76/658]  11.6% | OK:76   FAIL:0    SKIP:0   | OK           | 11573s | ETA:25170m | TimeMachine|XANG|H3|s123
[  77/658]  11.7% | OK:77   FAIL:0    SKIP:0   | OK           | 4499s | ETA:24830m | GPT4TS|XANG|H3|s123
[  78/658]  11.9% | OK:78   FAIL:0    SKIP:0   | OK           | 4850s | ETA:24488m | TEMPO|XANG|H3|s123
[  79/658]  12.0% | OK:79   FAIL:0    SKIP:0   | OK           | 4267s | ETA:24392m | Gated_TabNet|XANG|H3|s123
[  80/658]  12.2% | OK:80   FAIL:0    SKIP:0   | OK           | 6786s | ETA:24207m | Time_MoE|XANG|H3|s123
[  81/658]  12.3% | OK:81   FAIL:0    SKIP:0   | OK           | 6389s | ETA:24060m | GUMNet|XANG|H3|s123
[  82/658]  12.5% | OK:82   FAIL:0    SKIP:0   | OK           | 11618s | ETA:24493m | GUMNet_Patch|XANG|H3|s123
[  83/658]  12.6% | OK:83   FAIL:0    SKIP:0   | OK           | 12581s | ETA:24222m | GUMNet_Mamba|XANG|H3|s123
[  84/658]  12.8% | OK:84   FAIL:0    SKIP:0   | OK           | 12973s | ETA:23964m | GUMNet_Wavelet|XANG|H3|s123
[  85/658]  12.9% | OK:85   FAIL:0    SKIP:0   | OK           | 13611s | ETA:23686m | GUMNet_iTrans|XANG|H3|s123
[  86/658]  13.1% | OK:86   FAIL:0    SKIP:0   | OK           | 13084s | ETA:23586m | GUMNet_Fourier|XANG|H3|s123
[  87/658]  13.2% | OK:87   FAIL:0    SKIP:0   | OK           | 14044s | ETA:23526m | GUMNet_Diffusion|XANG|H3|s123
[  88/658]  13.4% | OK:88   FAIL:0    SKIP:0   | OK           | 12577s | ETA:23235m | GUMNet_Graph|XANG|H3|s123
[  89/658]  13.5% | OK:89   FAIL:0    SKIP:0   | OK           | 2613s | ETA:23212m | DLinear|XANG|H5|s123
[  90/658]  13.7% | OK:90   FAIL:0    SKIP:0   | OK           | 3994s | ETA:23043m | GUMNetHet|XANG|H3|s123
[  91/658]  13.8% | OK:91   FAIL:0    SKIP:0   | OK           | 11995s | ETA:22972m | GUMNet_RL|XANG|H3|s123
[  92/658]  14.0% | OK:92   FAIL:0    SKIP:0   | OK           | 4236s | ETA:22771m | RLinear|XANG|H5|s123
[  93/658]  14.1% | OK:93   FAIL:0    SKIP:0   | OK           | 3449s | ETA:22531m | LTSF_Linear|XANG|H5|s123
[  94/658]  14.3% | OK:94   FAIL:0    SKIP:0   | OK           | 12037s | ETA:22286m | GUMNet_Decomp|XANG|H3|s123
[  95/658]  14.4% | OK:95   FAIL:0    SKIP:0   | OK           | 2282s | ETA:22075m | NBEATS|XANG|H5|s123
[  96/658]  14.6% | OK:96   FAIL:0    SKIP:0   | OK           | 14006s | ETA:21897m | GUMNet_Fusion|XANG|H3|s123
[  97/658]  14.7% | OK:97   FAIL:0    SKIP:0   | OK           | 2407s | ETA:21638m | NHits|XANG|H5|s123
[  98/658]  14.9% | OK:98   FAIL:0    SKIP:0   | OK           | 2747s | ETA:21454m | PatchTST|XANG|H5|s123
[  99/658]  15.0% | OK:99   FAIL:0    SKIP:0   | OK           | 1862s | ETA:21208m | Autoformer|XANG|H5|s123
[ 100/658]  15.2% | OK:100  FAIL:0    SKIP:0   | OK           | 2665s | ETA:20974m | TFT|XANG|H5|s123
[ 101/658]  15.3% | OK:101  FAIL:0    SKIP:0   | OK           | 1901s | ETA:20802m | FedFormer|XANG|H5|s123
[ 102/658]  15.5% | OK:102  FAIL:0    SKIP:0   | OK           | 16896s | ETA:20594m | GUMNet_MoE_Sparse|XANG|H3|s123
[ 103/658]  15.7% | OK:103  FAIL:0    SKIP:0   | OK           | 14014s | ETA:20367m | GUMNet_Adaptive|XANG|H3|s123
[ 104/658]  15.8% | OK:104  FAIL:0    SKIP:0   | OK           | 2428s | ETA:20146m | Informer|XANG|H5|s123
[ 105/658]  16.0% | OK:105  FAIL:0    SKIP:0   | OK           | 2157s | ETA:19985m | UniTS|XANG|H5|s123
[ 106/658]  16.1% | OK:106  FAIL:0    SKIP:0   | OK           | 2496s | ETA:19768m | Reformer|XANG|H5|s123
[ 107/658]  16.3% | OK:107  FAIL:0    SKIP:0   | OK           | 2814s | ETA:19583m | iTransformer|XANG|H5|s123
[ 108/658]  16.4% | OK:108  FAIL:0    SKIP:0   | OK           | 2361s | ETA:19410m | TimeXer|XANG|H5|s123
[ 109/658]  16.6% | OK:109  FAIL:0    SKIP:0   | OK           | 2156s | ETA:19218m | CARD|XANG|H5|s123
[ 110/658]  16.7% | OK:110  FAIL:0    SKIP:0   | OK           | 3061s | ETA:19075m | Crossformer|XANG|H5|s123
[ 111/658]  16.9% | OK:111  FAIL:0    SKIP:0   | OK           | 2934s | ETA:18878m | TimesNet|XANG|H5|s123
[ 112/658]  17.0% | OK:112  FAIL:0    SKIP:0   | OK           | 2217s | ETA:18679m | TimeMixer|XANG|H5|s123
[ 113/658]  17.2% | OK:113  FAIL:0    SKIP:0   | OK           | 1911s | ETA:18536m | CoST|XANG|H5|s123
[ 114/658]  17.3% | OK:114  FAIL:0    SKIP:0   | OK           | 2880s | ETA:18343m | TTM|XANG|H5|s123
[ 115/658]  17.5% | OK:115  FAIL:0    SKIP:0   | OK           | 2736s | ETA:18171m | FITS|XANG|H5|s123
[ 116/658]  17.6% | OK:116  FAIL:0    SKIP:0   | OK           | 3047s | ETA:18128m | S_Mamba|XANG|H5|s123
[ 117/658]  17.8% | OK:117  FAIL:0    SKIP:0   | OK           | 2514s | ETA:17968m | TimesFM|XANG|H5|s123
[ 118/658]  17.9% | OK:118  FAIL:0    SKIP:0   | OK           | 2599s | ETA:17786m | Chronos|XANG|H5|s123
[ 119/658]  18.1% | OK:119  FAIL:0    SKIP:0   | OK           | 3510s | ETA:17616m | MambaFormer|XANG|H5|s123
[ 120/658]  18.2% | OK:120  FAIL:0    SKIP:0   | OK           | 2806s | ETA:17463m | Moirai|XANG|H5|s123
[ 121/658]  18.4% | OK:121  FAIL:0    SKIP:0   | OK           | 4632s | ETA:17347m | BiMamba|XANG|H5|s123
[ 122/658]  18.5% | OK:122  FAIL:0    SKIP:0   | OK           | 6061s | ETA:17208m | TimeMachine|XANG|H5|s123
[ 123/658]  18.7% | OK:123  FAIL:0    SKIP:0   | OK           | 2286s | ETA:17041m | Lag_Llama|XANG|H5|s123
[ 124/658]  18.8% | OK:124  FAIL:0    SKIP:0   | OK           | 2411s | ETA:16910m | GPT4TS|XANG|H5|s123
[ 125/658]  19.0% | OK:125  FAIL:0    SKIP:0   | OK           | 2590s | ETA:16754m | TEMPO|XANG|H5|s123
[ 126/658]  19.1% | OK:126  FAIL:0    SKIP:0   | OK           | 2356s | ETA:16612m | Gated_TabNet|XANG|H5|s123
[ 127/658]  19.3% | OK:127  FAIL:0    SKIP:0   | OK           | 4217s | ETA:16555m | Time_MoE|XANG|H5|s123
[ 128/658]  19.5% | OK:128  FAIL:0    SKIP:0   | OK           | 4375s | ETA:16487m | GUMNet|XANG|H5|s123
[ 129/658]  19.6% | OK:129  FAIL:0    SKIP:0   | OK           | 8990s | ETA:16676m | GUMNet_Mamba|XANG|H5|s123
[ 130/658]  19.8% | OK:130  FAIL:0    SKIP:0   | OK           | 8598s | ETA:16540m | GUMNet_Patch|XANG|H5|s123
[ 131/658]  19.9% | OK:131  FAIL:0    SKIP:0   | OK           | 10180s | ETA:16444m | GUMNet_iTrans|XANG|H5|s123
[ 132/658]  20.1% | OK:132  FAIL:0    SKIP:0   | OK           | 9753s | ETA:16295m | GUMNet_Wavelet|XANG|H5|s123
[ 133/658]  20.2% | OK:133  FAIL:0    SKIP:0   | OK           | 9383s | ETA:16148m | GUMNet_Fourier|XANG|H5|s123
[ 134/658]  20.4% | OK:134  FAIL:0    SKIP:0   | OK           | 10783s | ETA:16186m | GUMNet_Diffusion|XANG|H5|s123
[ 135/658]  20.5% | OK:135  FAIL:0    SKIP:0   | OK           | 9619s | ETA:16047m | GUMNet_Graph|XANG|H5|s123
[ 136/658]  20.7% | OK:136  FAIL:0    SKIP:0   | OK           | 2185s | ETA:16027m | GUMNetHet|XANG|H5|s123
[ 137/658]  20.8% | OK:137  FAIL:0    SKIP:0   | OK           | 2741s | ETA:15926m | DLinear|XANG|H7|s123
[ 138/658]  21.0% | OK:138  FAIL:0    SKIP:0   | OK           | 8737s | ETA:15872m | GUMNet_RL|XANG|H5|s123
[ 139/658]  21.1% | OK:139  FAIL:0    SKIP:0   | OK           | 2636s | ETA:15800m | LTSF_Linear|XANG|H7|s123
[ 140/658]  21.3% | OK:140  FAIL:0    SKIP:0   | OK           | 8585s | ETA:15660m | GUMNet_Decomp|XANG|H5|s123
[ 141/658]  21.4% | OK:141  FAIL:0    SKIP:0   | OK           | 3552s | ETA:15528m | RLinear|XANG|H7|s123
[ 142/658]  21.6% | OK:142  FAIL:0    SKIP:0   | OK           | 2307s | ETA:15446m | NBEATS|XANG|H7|s123
[ 143/658]  21.7% | OK:143  FAIL:0    SKIP:0   | OK           | 10242s | ETA:15336m | GUMNet_Fusion|XANG|H5|s123
[ 144/658]  21.9% | OK:144  FAIL:0    SKIP:0   | OK           | 10061s | ETA:15200m | GUMNet_Adaptive|XANG|H5|s123
[ 145/658]  22.0% | OK:145  FAIL:0    SKIP:0   | OK           | 2414s | ETA:15114m | NHits|XANG|H7|s123
[ 146/658]  22.2% | OK:146  FAIL:0    SKIP:0   | OK           | 2704s | ETA:15009m | TFT|XANG|H7|s123
[ 147/658]  22.3% | OK:147  FAIL:0    SKIP:0   | OK           | 2859s | ETA:14878m | PatchTST|XANG|H7|s123
[ 148/658]  22.5% | OK:148  FAIL:0    SKIP:0   | OK           | 1935s | ETA:14758m | Autoformer|XANG|H7|s123
[ 149/658]  22.6% | OK:149  FAIL:0    SKIP:0   | OK           | 2183s | ETA:14671m | FedFormer|XANG|H7|s123
[ 150/658]  22.8% | OK:150  FAIL:0    SKIP:0   | OK           | 13350s | ETA:14545m | GUMNet_MoE_Sparse|XANG|H5|s123
[ 151/658]  22.9% | OK:151  FAIL:0    SKIP:0   | OK           | 2487s | ETA:14438m | Informer|XANG|H7|s123
[ 152/658]  23.1% | OK:152  FAIL:0    SKIP:0   | OK           | 2064s | ETA:14335m | Reformer|XANG|H7|s123
[ 153/658]  23.3% | OK:153  FAIL:0    SKIP:0   | OK           | 2126s | ETA:14244m | UniTS|XANG|H7|s123
[ 154/658]  23.4% | OK:154  FAIL:0    SKIP:0   | OK           | 2181s | ETA:14135m | TimeXer|XANG|H7|s123
[ 155/658]  23.6% | OK:155  FAIL:0    SKIP:0   | OK           | 2676s | ETA:14034m | iTransformer|XANG|H7|s123
[ 156/658]  23.7% | OK:156  FAIL:0    SKIP:0   | OK           | 2214s | ETA:13939m | CARD|XANG|H7|s123
[ 157/658]  23.9% | OK:157  FAIL:0    SKIP:0   | OK           | 2254s | ETA:13862m | TimeMixer|XANG|H7|s123
[ 158/658]  24.0% | OK:158  FAIL:0    SKIP:0   | OK           | 3090s | ETA:13754m | Crossformer|XANG|H7|s123
[ 159/658]  24.2% | OK:159  FAIL:0    SKIP:0   | OK           | 3046s | ETA:13654m | TimesNet|XANG|H7|s123
[ 160/658]  24.3% | OK:160  FAIL:0    SKIP:0   | OK           | 1864s | ETA:13557m | CoST|XANG|H7|s123
[ 161/658]  24.5% | OK:161  FAIL:0    SKIP:0   | OK           | 2423s | ETA:13446m | TTM|XANG|H7|s123
[ 162/658]  24.6% | OK:162  FAIL:0    SKIP:0   | OK           | 2580s | ETA:13356m | FITS|XANG|H7|s123
[ 163/658]  24.8% | OK:163  FAIL:0    SKIP:0   | OK           | 3167s | ETA:13352m | S_Mamba|XANG|H7|s123
